172.16.13.2 ServerMag13
172.16.14.2 ServerMag14
172.16.15.2 ServerMag15
172.16.16.2 ServerMag16
172.16.17.2 ServerMag17
172.16.18.2 ServerMag18
172.16.19.2 ServerMag19
172.16.20.2 ServerMag20
172.16.22.2 ServerMag21
172.16.23.2 ServerMag22
172.16.24.2 ServerMag23
172.16.26.2 ServerMag26
172.16.29.2 ServerMag29
172.16.30.2 ServerMag30
172.16.31.2 ServerMag31
172.16.33.2 ServerMag33
172.16.34.2 ServerMag34
172.16.35.2 ServerMag35
172.16.36.2 ServerMag36
172.16.37.2 ServerMag37
172.16.38.2 ServerMag38
172.16.39.2 ServerMag39
172.16.140.2 ServerMag40
172.16.41.2 ServerMag41
172.16.42.2 ServerMag42
172.16.43.2 ServerMag43
172.16.44.2 ServerMag44
172.16.45.2 ServerMag45
172.16.46.2 ServerMag46
172.16.47.2 ServerMag47
172.16.49.2 ServerMag49
172.16.150.2 ServerMag50
172.16.151.2 ServerMag51
172.16.52.2 ServerMag52
172.16.53.2 ServerMag53
172.16.54.2 ServerMag54
172.16.55.2 ServerMag55
172.16.56.2 ServerMag56
172.16.57.2 ServerMag57
172.16.58.2 ServerMag58
172.16.59.2 ServerMag59
172.16.60.2 ServerMag60
172.16.61.2 ServerMag61
172.16.62.2 ServerMag62
172.16.63.2 ServerMag63
172.16.64.2 ServerMag64
172.16.65.2 ServerMag65
172.16.1.66 ServerMag66
172.16.1.67 ServerMag67
172.16.68.2 ServerMag68
172.16.69.2 ServerMag69
172.16.70.2 ServerMag70
172.16.71.2 ServerMag71
172.16.73.2 ServerMag73
172.16.74.2 ServerMag74
